Year,Date,Tournament,Site,State,Winner,Tournament_URL
2013,March 14-17 2013,Sabine River Challenge Presented by STARK Cultural Venues,Sabine River,TX,Todd Faircloth,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=2&year=2013
2013,February 22-24 2013,Bassmaster Classic 2013,Grand Lake,OK,Cliff Pace,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=1&year=2013
2012,August 23-26 2012,Dixie Duel,Wheeler Lake,AL,David Walker,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=9&year=2012
2012,August 23-26 2012,Ramada Championship,Oneida Lake,NY,Boyd Duckett,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=9&year=2012
2012,June 28-1 2012,Diamond Drive,Arkansas River,AR,Denny Brauer,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=8&year=2012
2012,June 28-1 2012,Green Bay Challenge,Lake Michigan,WI,Jonathon VanDam,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=8&year=2012
2012,June 21-24 2012,Carolina Clash,Lake Murray,SC,Casey Ashley,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=7&year=2012
2012,June 21-24 2012,Mississippi River Rumble,Mississippi River,WI,Todd Faircloth,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=7&year=2012
2012,June 7-10 2012,Pride of Georgia,Westpoint Lake,GA,Stephen Kennedy,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=6&year=2012
2012,June 7-10 2012,Toledo Bend Battle,Toledo Bend,LA,Brent Chapman,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=6&year=2012
2012,May 3-6 2012,Douglas Lake Challenge,Douglas Lake,TN,Jeremy Starks,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=5&year=2012
2012,May 3-6 2012,Battle on the Bayou,Toledo Bend,LA,Dean Rojas,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=5&year=2012
2012,April 19-22 2012,Alabama Charge,Pickwick Charge,AL,Davy Hite,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=4&year=2012
2012,April 19-22 2012,TroKar Quest,Bull Shoals/Norfolk,AR,Brandon Palaniuk,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=4&year=2012
2012,March 22-25 2012,Power-Pole Slam,Lake Okeechobee,FL,Ishama Monroe,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=3&year=2012
2012,March 22-25 2012,Citrus Slam,St. Johns River,FL,Edwin Evers,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=3&year=2012
2012,March 15-18 2012,St. Johns River Showdown,St. Johns River,FL,Alton Jones,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=2&year=2012
2012,March 15-18 2012,Sunshine Showdown,Harris Chain,FL,Shaw Grigsby,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=2&year=2012
2011,February 24-26 2012,Bassmaster Classic 2011,Louisiana Delta,LA,Kevin VanDam,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=1&year=2012
2012,February 24-27 2012,Bassmaster Classic 2012,Red River,LA,Chris Lane,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=1&year=2012
